epoch,accuracy,loss,val_accuracy,val_loss
0,0.37226683,1.319099085930804,0.44956774,1.26644494897694
1,0.6440631,0.9757136157962578,0.6628242,0.9179580869523524
2,0.7907556,0.5763539901869864,0.7002882,0.7873420272162049
3,0.85413784,0.4095987652333331,0.69452447,0.802888763569274
4,0.8804318,0.32464492009215956,0.6829971,0.8364179474476091
5,0.90617216,0.261889754447322,0.6685879,0.9180680863795432
6,0.9211182,0.2261408025905626,0.6887608,0.9380434411403425
7,0.94076943,0.18144239231618264,0.685879,0.981875859694797
8,0.94990313,0.15545965248598737,0.6829971,1.0322158508410715
9,0.9615278,0.13134140775809897,0.67723346,1.113018099615828
10,0.961251,0.12059711892989874,0.6801153,1.1549089408401798
11,0.9676169,0.10775244617904285,0.6685879,1.1990146925538692
12,0.9678937,0.0999313067431401,0.6743516,1.2448327424546828
13,0.97121507,0.09578897289100724,0.66570604,1.306369908948453
14,0.96983117,0.08947172948413697,0.64553314,1.3493461151975032
15,0.97259897,0.08165236274922386,0.6743516,1.35285041139861
16,0.97481316,0.08014336904604169,0.6743516,1.4317458237626024
17,0.97481316,0.07615616348866706,0.6685879,1.4235429841091034
18,0.97481316,0.07996099807348833,0.6743516,1.3804596653932797
19,0.97619706,0.07180574834924176,0.66570604,1.464474085772072
20,0.97508997,0.07084838987900104,0.67146975,1.4764876162971474
21,0.9784113,0.06889804966547732,0.6829971,1.452995323653867
22,0.9767506,0.061289263639930064,0.67146975,1.5080602430129257
23,0.9778577,0.05935643859560259,0.64553314,1.6071681969447507
24,0.9767506,0.06383967755061831,0.66570604,1.5806882611612765
